connector,feature,description,hs_endpoint,cypress_test_status,prod_used,latest_prod_timestamp
redsys,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,yes,2026-02-05 16:51:52.490
shift4,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
trustpay,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
xendit,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
santander,Push Notification Flow,Handle bank-initiated push notification to trigger a new mandate charge cycle (e.g. PIX Automático),POST /payments (internal mandate push notification),no_cypress_config,no,
santander,QR Code Generation Flow,"Generate a scannable QR code for the payment (e.g. PIX, WeChat Pay, GrabPay)",POST /payments (internal QR code generation),no_cypress_config,no,
aci,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
adyen,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 01:36:11
affirm,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
airwallex,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
amazonpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
archipel,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
authipay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
authorizedotnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 19:45:30
bambora,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
bamboraapac,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
bankofamerica,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
barclaycard,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
billwerk,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
bitpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
bluesnap,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
boku,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
braintree,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
breadpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
celero,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
checkout,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
coingate,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
cybersource,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 15:16:44
datatrans,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
deutschebank,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
digitalvirgo,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
dlocal,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
dwolla,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
elavon,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
facilitapay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,
finix,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-18 19:43:27
fiserv,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
fiservcommercehub,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
fiservemea,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
fiuu,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-19 09:10:27
forte,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
getnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
gigadat,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,
globalpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
globepay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
gocardless,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
helcim,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
hipay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
hyperpg,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
iatapay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
inespay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
itaubank,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,
jpmorgan,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
klarna,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
loonio,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,
mollie,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
moneris,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
multisafepay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
nexinets,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
nexixpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-03-02 07:48:10
nmi,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 17:12:33
noon,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 00:25:18
novalnet,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 21:01:29
nuvei,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
paybox,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
payeezy,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
payjustnow,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
payjustnowinstore,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
payload,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
payme,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
paypal,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 12:20:22
paysafe,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
paystack,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
payu,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
peachpayments,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-08 10:11:19
placetopay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
powertranz,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
prophetpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
rapyd,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
razorpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
redsys,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
revolv3,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
santander,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
shift4,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
silverflow,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
square,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
stax,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
stripe,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-21 01:32:04
tesouro,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
truelayer,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
trustly,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
trustpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-20 10:14:11
trustpayments,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
tsys,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
volt,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,not_covered,no,
wellsfargo,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
worldline,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
worldpay,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-04-06 05:02:32
worldpaymodular,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
worldpayvantiv,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
worldpayxml,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,yes,2026-03-23 06:31:48
xendit,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
zen,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,no_cypress_config,no,
zift,Refund,Connector supports refund of a completed payment (at least one PM/PMT combination),POST /refunds,covered,no,
xendit,Settlement Split Call,Split settlement amounts across sub-merchants or accounts after authorization,POST /payments (internal post-auth settlement split),not_covered,no,
adyen,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),not_covered,unknown,
stripe,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),not_covered,unknown,
xendit,Split Payments,Split a single payment across multiple accounts or sub-merchant recipients,POST /payments (split_payments in body),not_covered,unknown,
adyen,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),not_covered,yes,2026-04-21 01:36:11
stripe,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),not_covered,yes,2026-04-20 17:12:49
xendit,Split Refunds,Refund a split payment proportionally across the original split recipients,POST /refunds (split_refunds in body),not_covered,no,
barclaycard,Step Up Authentication,Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer,POST /payments (internal 3DS2 step-up redirect),not_covered,no,
cybersource,Step Up Authentication,Trigger a 3DS step-up challenge when a prior frictionless flow is deemed insufficient by the issuer,POST /payments (internal 3DS2 step-up redirect),not_covered,no,
celero,Surcharge,Add a connector-forwarded surcharge fee on top of the payment amount,POST /payments (surcharge_details in body),not_covered,no,
digitalvirgo,Surcharge,Add a connector-forwarded surcharge fee on top of the payment amount,POST /payments (surcharge_details in body),no_cypress_config,no,
